['Bordeaux', 'Gelb', 'Dunkelgruen', 'Magenta', 'Dunkelviolet', 'Violet', 'Hellgruen', 'Gruen', 'Blau', 'Hellblau', 'Orange', 'Rot'] - solved - 10335
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Gruen', 'Violet', 'Orange', 'Dunkelviolet', 'Blau', 'Gelb', 'Hellgruen'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gelb', 'Hellgruen', 'Orange', 'Violet', 'Dunkelviolet', 'Dunkelgruen', 'Blau', 'Gruen'] - solved - 628
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Gruen', 'Dunkelgruen', 'Dunkelviolet', 'Gelb', 'Blau', 'Violet', 'Orange'] - solved - 634
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Violet', 'Blau', 'Hellgruen', 'Gruen', 'Orange', 'Dunkelviolet', 'Gelb'] - solved - 627
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Hellgruen', 'Blau', 'Gelb', 'Orange', 'Violet', 'Gruen', 'Dunkelgruen'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Violet', 'Hellgruen', 'Gruen', 'Orange', 'Dunkelgruen', 'Dunkelviolet', 'Gelb'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gelb', 'Gruen', 'Hellgruen', 'Dunkelgruen', 'Blau', 'Orange', 'Dunkelviolet', 'Violet'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Blau', 'Dunkelgruen', 'Dunkelviolet', 'Hellgruen', 'Gelb', 'Violet', 'Gruen'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Violet', 'Gruen', 'Hellgruen', 'Dunkelviolet', 'Orange', 'Dunkelgruen', 'Blau', 'Gelb'] - solved - 639
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Hellgruen', 'Violet', 'Blau', 'Gelb', 'Gruen', 'Dunkelviolet', 'Orange'] - solved - 628
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Violet', 'Orange', 'Blau', 'Hellgruen', 'Gelb', 'Dunkelviolet', 'Gruen', 'Dunkelgruen'] - solved - 639
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Gruen', 'Orange', 'Gelb', 'Blau', 'Violet', 'Hellgruen', 'Dunkelviolet'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Violet', 'Hellgruen', 'Blau', 'Dunkelviolet', 'Dunkelgruen', 'Orange', 'Gelb'] - solved - 645
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Orange', 'Gruen', 'Gelb', 'Violet', 'Blau', 'Dunkelgruen', 'Hellgruen'] - solved - 623
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Orange', 'Violet', 'Blau', 'Dunkelviolet', 'Gruen', 'Dunkelgruen', 'Gelb'] - solved - 632
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Gruen', 'Violet', 'Hellgruen', 'Dunkelgruen', 'Gelb', 'Blau', 'Orange'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Hellgruen', 'Gelb', 'Blau', 'Dunkelgruen', 'Gruen', 'Violet', 'Orange'] - solved - 623
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Orange', 'Dunkelgruen', 'Dunkelviolet', 'Gruen', 'Gelb', 'Violet', 'Blau'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Blau', 'Orange', 'Dunkelgruen', 'Dunkelviolet', 'Gelb', 'Gruen', 'Violet'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Gruen', 'Orange', 'Violet', 'Blau', 'Hellgruen', 'Gelb', 'Dunkelviolet'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Gruen', 'Violet', 'Gelb', 'Dunkelgruen', 'Hellgruen', 'Orange', 'Dunkelviolet'] - solved - 636
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Gruen', 'Gelb', 'Dunkelgruen', 'Violet', 'Orange', 'Dunkelviolet', 'Hellgruen'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Dunkelviolet', 'Gruen', 'Blau', 'Gelb', 'Dunkelgruen', 'Violet', 'Hellgruen'] - solved - 623
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Dunkelgruen', 'Orange', 'Blau', 'Violet', 'Hellgruen', 'Gelb', 'Dunkelviolet'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Gruen', 'Dunkelviolet', 'Violet', 'Hellgruen', 'Orange', 'Gelb', 'Dunkelgruen'] - solved - 636
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gelb', 'Orange', 'Hellgruen', 'Dunkelviolet', 'Gruen', 'Violet', 'Dunkelgruen', 'Blau'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Gelb', 'Dunkelgruen', 'Hellgruen', 'Blau', 'Dunkelviolet', 'Gruen', 'Violet'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gelb', 'Gruen', 'Violet', 'Blau', 'Dunkelgruen', 'Dunkelviolet', 'Orange', 'Hellgruen'] - solved - 636
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Gruen', 'Blau', 'Dunkelviolet', 'Gelb', 'Violet', 'Hellgruen', 'Dunkelgruen'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Gruen', 'Dunkelgruen', 'Dunkelviolet', 'Gelb', 'Violet', 'Blau', 'Orange'] - solved - 634
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Violet', 'Dunkelgruen', 'Gruen', 'Orange', 'Gelb', 'Dunkelviolet', 'Hellgruen'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gelb', 'Hellgruen', 'Blau', 'Dunkelgruen', 'Orange', 'Gruen', 'Dunkelviolet', 'Violet'] - solved - 634
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Dunkelviolet', 'Violet', 'Orange', 'Dunkelgruen', 'Gruen', 'Gelb', 'Blau'] - solved - 640
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Gruen', 'Violet', 'Hellgruen', 'Gelb', 'Dunkelgruen', 'Dunkelviolet', 'Blau'] - solved - 637
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Blau', 'Violet', 'Gelb', 'Gruen', 'Dunkelgruen', 'Hellgruen', 'Orange'] - solved - 624
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Gelb', 'Dunkelgruen', 'Hellgruen', 'Blau', 'Gruen', 'Orange', 'Violet'] - solved - 623
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Dunkelgruen', 'Gelb', 'Blau', 'Gruen', 'Dunkelviolet', 'Orange', 'Violet'] - solved - 634
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Dunkelgruen', 'Hellgruen', 'Orange', 'Blau', 'Violet', 'Gruen', 'Gelb'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Dunkelgruen', 'Hellgruen', 'Gelb', 'Blau', 'Violet', 'Dunkelviolet', 'Gruen'] - solved - 628
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Gruen', 'Violet', 'Dunkelviolet', 'Orange', 'Dunkelgruen', 'Gelb', 'Hellgruen'] - solved - 636
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Orange', 'Hellgruen', 'Gelb', 'Blau', 'Dunkelgruen', 'Dunkelviolet', 'Violet'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Blau', 'Hellgruen', 'Gelb', 'Violet', 'Gruen', 'Dunkelviolet', 'Orange'] - solved - 628
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Hellgruen', 'Blau', 'Gelb', 'Orange', 'Dunkelviolet', 'Violet', 'Dunkelgruen'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Blau', 'Orange', 'Violet', 'Gruen', 'Dunkelviolet', 'Hellgruen', 'Gelb'] - solved - 627
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Gruen', 'Dunkelviolet', 'Orange', 'Violet', 'Gelb', 'Blau', 'Hellgruen'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Violet', 'Dunkelgruen', 'Orange', 'Gelb', 'Dunkelviolet', 'Hellgruen', 'Blau', 'Gruen'] - solved - 639
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Blau', 'Gelb', 'Orange', 'Dunkelgruen', 'Hellgruen', 'Violet', 'Gruen'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Hellgruen', 'Dunkelviolet', 'Gelb', 'Blau', 'Orange', 'Violet', 'Dunkelgruen'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Orange', 'Gelb', 'Dunkelgruen', 'Violet', 'Dunkelviolet', 'Blau', 'Hellgruen'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Gruen', 'Hellgruen', 'Orange', 'Dunkelviolet', 'Blau', 'Violet', 'Gelb'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Orange', 'Dunkelgruen', 'Gelb', 'Blau', 'Dunkelviolet', 'Violet', 'Gruen'] - solved - 628
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Gelb', 'Hellgruen', 'Blau', 'Dunkelgruen', 'Violet', 'Gruen', 'Orange'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Gelb', 'Orange', 'Dunkelgruen', 'Gruen', 'Hellgruen', 'Violet', 'Blau'] - solved - 624
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Violet', 'Gelb', 'Orange', 'Blau', 'Hellgruen', 'Dunkelgruen', 'Gruen'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Dunkelgruen', 'Blau', 'Gelb', 'Hellgruen', 'Orange', 'Dunkelviolet', 'Violet'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gelb', 'Dunkelgruen', 'Hellgruen', 'Violet', 'Orange', 'Blau', 'Dunkelviolet', 'Gruen'] - solved - 628
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Hellgruen', 'Orange', 'Dunkelgruen', 'Violet', 'Blau', 'Gelb', 'Gruen'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Orange', 'Blau', 'Gruen', 'Dunkelgruen', 'Violet', 'Gelb', 'Hellgruen'] - solved - 623
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Gelb', 'Blau', 'Gruen', 'Dunkelgruen', 'Violet', 'Orange', 'Dunkelviolet'] - solved - 632
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Hellgruen', 'Dunkelgruen', 'Dunkelviolet', 'Gelb', 'Gruen', 'Blau', 'Violet'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gelb', 'Hellgruen', 'Blau', 'Dunkelviolet', 'Orange', 'Violet', 'Gruen', 'Dunkelgruen'] - solved - 628
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Violet', 'Dunkelviolet', 'Blau', 'Orange', 'Gelb', 'Dunkelgruen', 'Hellgruen', 'Gruen'] - solved - 639
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Gelb', 'Violet', 'Blau', 'Gruen', 'Hellgruen', 'Orange', 'Dunkelviolet'] - solved - 627
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Blau', 'Gelb', 'Dunkelgruen', 'Orange', 'Dunkelviolet', 'Violet', 'Gruen'] - solved - 628
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Gruen', 'Violet', 'Blau', 'Dunkelgruen', 'Orange', 'Gelb', 'Hellgruen'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Dunkelviolet', 'Dunkelgruen', 'Violet', 'Hellgruen', 'Blau', 'Gelb', 'Gruen'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Hellgruen', 'Violet', 'Blau', 'Gruen', 'Dunkelgruen', 'Dunkelviolet', 'Gelb'] - solved - 632
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Gruen', 'Hellgruen', 'Dunkelgruen', 'Violet', 'Blau', 'Orange', 'Gelb'] - solved - 624
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Dunkelgruen', 'Dunkelviolet', 'Violet', 'Gelb', 'Hellgruen', 'Gruen', 'Orange'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gelb', 'Dunkelgruen', 'Dunkelviolet', 'Blau', 'Gruen', 'Orange', 'Violet', 'Hellgruen'] - solved - 623
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Orange', 'Dunkelgruen', 'Violet', 'Dunkelviolet', 'Hellgruen', 'Gelb', 'Blau'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Hellgruen', 'Violet', 'Dunkelgruen', 'Orange', 'Dunkelviolet', 'Gelb', 'Gruen', 'Blau'] - solved - 640
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Dunkelviolet', 'Dunkelgruen', 'Hellgruen', 'Gelb', 'Orange', 'Violet', 'Gruen'] - solved - 621
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Blau', 'Orange', 'Hellgruen', 'Dunkelviolet', 'Gelb', 'Violet', 'Dunkelgruen'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Gruen', 'Violet', 'Orange', 'Gelb', 'Dunkelviolet', 'Dunkelgruen', 'Hellgruen'] - solved - 636
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Violet', 'Hellgruen', 'Blau', 'Gelb', 'Orange', 'Dunkelviolet', 'Gruen'] - solved - 627
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Orange', 'Violet', 'Gruen', 'Gelb', 'Blau', 'Dunkelgruen', 'Hellgruen'] - solved - 625
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Blau', 'Dunkelgruen', 'Orange', 'Hellgruen', 'Violet', 'Gelb', 'Dunkelviolet'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Gelb', 'Violet', 'Blau', 'Hellgruen', 'Dunkelgruen', 'Gruen', 'Orange'] - solved - 624
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Dunkelviolet', 'Gelb', 'Dunkelgruen', 'Hellgruen', 'Blau', 'Gruen', 'Violet'] - solved - 623
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Gruen', 'Gelb', 'Orange', 'Hellgruen', 'Blau', 'Dunkelviolet', 'Violet'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Orange', 'Gelb', 'Dunkelgruen', 'Blau', 'Violet', 'Gruen', 'Dunkelviolet', 'Hellgruen'] - solved - 627
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelviolet', 'Gelb', 'Hellgruen', 'Orange', 'Dunkelgruen', 'Gruen', 'Blau', 'Violet'] - solved - 623
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Violet', 'Dunkelgruen', 'Dunkelviolet', 'Hellgruen', 'Orange', 'Gelb', 'Gruen'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Gruen', 'Dunkelgruen', 'Dunkelviolet', 'Violet', 'Blau', 'Hellgruen', 'Orange', 'Gelb'] - solved - 633
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Dunkelgruen', 'Gruen', 'Orange', 'Gelb', 'Hellgruen', 'Dunkelviolet', 'Blau', 'Violet'] - solved - 635
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Blau', 'Violet', 'Dunkelgruen', 'Dunkelviolet', 'Hellgruen', 'Orange', 'Gelb', 'Gruen'] - solved - 630
['Rot', 'Hellblau', 'Bordeaux', 'Magenta', 'Violet', 'Gruen', 'Blau', 'Hellgruen', 'Dunkelgruen', 'Orange', 'Dunkelviolet', 'Gelb'] - solved - 639
